ID,ECO
1,A01
2,A02
3,A03
4,A04
5,A05
6,A06
7,A07
8,A08
9,A09
10,A10
11,A12
12,A13
13,A14
14,A15
15,A16
16,A17
17,A20
18,A21
19,A22
20,A25
21,A26
22,A28
23,A36
24,A40
25,A41
26,A43
27,A44
28,A45
29,A46
30,A47
31,A48
32,A50
33,A51
34,A52
35,A53
36,A56
37,A57
38,A58
39,A59
40,A60
41,A61
42,A66
43,A80
44,A81
45,A84
46,A86
47,A90
48,A91
49,A92
50,B00
51,B01
52,B02
53,B03
54,B06
55,B07
56,B10
57,B12
58,B15
59,B20
60,B27
61,B30
62,B32
63,B33
64,B40
65,B44
66,B50
67,B53
68,B54
69,B56
70,B57
71,B58
72,B83
73,B89
74,C00
75,C10
76,C11
77,C13
78,C20
79,C21
80,C22
81,C23
82,C24
83,C25
84,C26
85,C27
86,C28
87,C29
88,C30
89,C33
90,C34
91,C37
92,C38
93,C39
94,C40
95,C41
96,C42
97,C44
98,C45
99,C46
100,C47
101,C48
102,C49
103,C50
104,C51
105,C52
106,C53
107,C54
108,C55
109,C56
110,C57
111,C58
112,C59
113,C60
114,C66
115,C67
116,C70
117,C71
118,C77
119,C78
120,C87
121,C88
122,D00
123,D01
124,D02
125,D03
126,D04
127,D05
128,D06
129,D10
130,D11
131,D12
132,D15
133,D16
134,D17
135,D20
136,D21
137,D22
138,D23
139,D24
140,D25
141,D26
142,D30
143,D31
144,D35
145,D37
146,D43
147,D44
148,D45
149,D46
150,D47
151,D50
152,D51
153,D52
154,D53
155,D55
156,D56
157,D70
158,D71
159,D80
160,D85
161,D89
162,D90
163,D94
164,D95
165,E00
166,E10
167,E11
168,E12
169,E14
170,E15
171,E16
172,E17
173,E20
174,E41
175,E46
176,E60
177,E61
178,E70
179,E72
180,E73
181,E77
182,E90
183,E91
184,E92
185,E97
