ID,Name
1,Nimzovich-Larsen Attack
2,Bird's Opening
4,Reti Opening
7,King's Indian Attack
9,Reti Opening
10,English
11,English with b3
12,English
24,Queen's Pawn Game
25,Queen's Pawn Game (with ...d6)
26,Old Benoni
27,Old Benoni Defense
28,Queen's Pawn Game
30,Queen's Indian
31,King's Indian
32,Queen's Pawn Game
33,Budapest Gambit
35,Old Indian
36,Benoni Defense
37,Benko Gambit
40,Benoni Defense
41,Benoni
43,Dutch
48,Dutch Defense
49,Dutch
50,Uncommon King's Pawn Opening
51,Scandinavian
52,Alekhine's Defense
54,Robatsch
55,Pirc
56,Caro-Kann
57,Caro-Kann Defense
58,Caro-Kann
59,Sicilian
74,French Defense
75,French
78,King's Pawn Game
79,Center Game
81,Bishop's Opening
83,Vienna
85,Vienna Game
87,Vienna Gambit
88,King's Gambit Declined
89,King's Gambit Accepted
94,King's Knight Opening
95,Philidor Defense
96,Petrov Defense
97,King's Pawn Game
98,Scotch Game
99,Three Knights
100,Four Knights
103,Giuoco Piano
104,Evans Gambit
106,Giuoco Piano
108,Two Knights Defense
109,Two Knights
113,Ruy Lopez
122,Queen's Pawn Game
123,Richter-Veresov Attack
124,Queen's Pawn Game
125,Torre Attack (Tartakower Variation)
126,Queen's Pawn Game
128,Queen's Gambit Declined
129,Queen's Gambit Declined Slav
135,Queen's Gambit Accepted
142,Queen's Gambit Declined
146,Queen's Gambit Declined Semi-Slav
151,Queen's Gambit Declined
157,Neo-Grunfeld Defense
158,Neo-Grunfeld
159,Grunfeld
165,Queen's Pawn Game
167,Bogo-Indian Defense
168,Queen's Indian
173,Nimzo-Indian
176,King's Indian Defense
177,King's Indian
